generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.032,0,0.005,0
1000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.223986,-0.0194737,0.0794347,0
1000,Coptorhina_sp._dgi1,NA,50.9284,0.55504,0.0678883,0.882397,0
1000,Copris_agnus,Boletoscapter_cornutus,47.6477,5.53468,0.149983,6.49814,0
2000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.0580512,0.0050759,0.0290104,0
2000,Copris_agnus,Boletoscapter_cornutus,47.4668,6.21389,0.0741201,6.81674,0
3000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.106331,-0.0187667,0.00561939,0
3000,Copris_agnus,Boletoscapter_cornutus,47.9001,6.59395,0.0918556,7.83304,0
4000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.111753,-0.0123308,0.0352545,0
4000,Tesarius_caelatus,Platytomus_caelicollis,46.4871,0.310093,0.00426461,0.0816021,0
4000,Airapus_henriettae,NA,44.8506,0.112559,-0.0162093,0.0327508,0
4000,Copris_agnus,Boletoscapter_cornutus,47.9188,7.40625,0.0667696,7.53978,0
5000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.0583215,-0.0068025,0.0105793,0
5000,Copris_agnus,Copris_sinicus,48.6223,0.37027,0.0366669,0.0131365,0
5000,Copris_agnus,Boletoscapter_cornutus,48.3594,8.69447,-0.00246127,6.88499,0
6000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.160142,-0.0144774,0.0705349,0
6000,Lepanus_glaber,Macroderes_sp._dgi1,50.2323,6.61099,0.143403,5.51075,0
6000,Pedaria_sp._dgi1,Copris_agnus,46.2163,0.766912,0.000146632,0.311234,0
7000,Aphodius_sp._CLS_2009b,Dicranocara_deschodti,0,0.28116,-0.0200093,0.0944667,0
7000,Dicranocara_deschodti,NA,44.9422,0.69302,0.0431349,1.03354,0
