generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-782.104,1,0
1000,2,-17.0404,50.6617,1.24365,0.450549
2000,1,-12.2745,52.0722,0.368656,0.37
3000,1,-15.957,51.7852,1.97587,0.386
4000,3,-12.2155,53.6169,0.238694,0.401
5000,2,-13.1454,58.1479,0.307862,0.4
6000,2,-18.4874,63.9569,4.3756,0.408
7000,3,-14.1352,60.9595,1.14667,0.408942
8000,2,-19.7777,74.0789,0.862171,0.38
9000,2,-20.7508,75.5056,0.135519,0.361
10000,4,-24.4707,78.9559,0.271578,0.417
11000,3,-20.2956,73.9649,3.60082,0.468
12000,2,-17.6228,72.0361,1.28161,0.402833
13000,2,-17.4826,73.8164,0.13727,0.39125
14000,2,-17.7718,76.8809,1.11432,0.396115
15000,3,-18.3911,80.2631,0.483892,0.369
16000,2,-15.9992,72.0166,0.521223,0.44
17000,4,-20.8524,79.957,0.409371,0.3846
18000,2,-26.6255,78.8045,4.6762,0.413429
19000,2,-25.0929,82.1506,0.930836,0.374
20000,3,-19.8935,75.0071,2.81949,0.478
21000,2,-18.4226,75.345,0.506749,0.44225
22000,3,-30.2555,80.9362,0.969186,0.422
23000,2,-14.6659,73.063,0.23148,0.406
24000,2,-16.158,73.8305,0.783248,0.385
25000,2,-19.3117,75.5328,0.163309,0.396
26000,2,-18.7278,76.939,0.170639,0.4014
27000,2,-15.5952,75.8704,0.147293,0.352
28000,2,-22.5135,80.1671,0.200126,0.391
29000,2,-25.9284,72.2845,4.09657,0.34
30000,2,-13.8002,72.6776,0.312344,0.3851
31000,2,-14.1236,72.5129,0.108429,0.386
32000,3,-17.6975,75.0736,0.121826,0.429
33000,3,-28.326,78.9797,4.06267,0.386053
34000,2,-23.0558,80.1825,1.58912,0.429
35000,2,-19.812,76.6208,0.523075,0.372
36000,3,-22.2085,82.8951,0.985706,0.410429
37000,3,-20.2033,80.0174,0.367596,0.391
38000,3,-18.4984,74.4652,1.21305,0.399308
39000,2,-21.1993,76.6898,1.48647,0.43
40000,2,-18.2477,75.066,1.4526,0.369
41000,4,-20.7039,76.7052,1.74246,0.413
42000,2,-18.9561,78.0285,0.394844,0.3839
43000,2,-22.4723,79.2627,0.532974,0.3915
44000,2,-24.2246,80.6804,0.605013,0.3805
45000,2,-20.3829,76.8565,0.90408,0.3525
46000,2,-15.8347,75.8412,0.168608,0.38475
47000,2,-24.1001,77.6317,1.56641,0.371667
48000,2,-10.9575,66.8458,0.440326,0.357
49000,3,-22.9776,77.7087,2.35202,0.4255
50000,2,-18.2802,72.2243,1.11177,0.411
51000,3,-20.9467,75.8486,0.953524,0.405375
52000,5,-19.5641,79.9924,1.26402,0.43825
53000,2,-25.89,77.1261,1.43562,0.427
54000,2,-14.789,70.2836,0.634809,0.4055
55000,3,-15.4675,69.0913,0.740092,0.386
56000,3,-21.0808,73.2984,0.246708,0.417667
57000,2,-21.0583,75.9332,0.857965,0.413
58000,3,-22.8984,80.3902,1.60994,0.349
59000,3,-14.493,68.4564,0.811469,0.454
60000,2,-20.2389,78.5905,0.400301,0.444
61000,3,-19.8506,69.437,0.0427349,0.379
62000,3,-14.9816,70.3635,1.28314,0.428
63000,2,-18.7727,76.8859,0.401699,0.401
64000,2,-16.9644,75.1745,0.835907,0.401
65000,3,-16.486,68.66,0.24247,0.394
66000,2,-18.4021,75.5272,0.519761,0.396
67000,2,-20.5875,75.5225,0.17695,0.41219
68000,2,-19.0669,76.591,1.32007,0.389
69000,2,-23.0355,77.7863,1.01197,0.387
70000,2,-20.2649,77.4053,0.325903,0.345
71000,2,-14.5522,72.5556,0.0568883,0.396
72000,3,-22.1134,75.2489,0.0701672,0.4295
73000,2,-13.5793,71.1007,0.460341,0.4065
74000,2,-10.5726,64.0398,1.51511,0.384
75000,2,-18.1283,75.9229,0.211271,0.357
76000,3,-14.7815,64.583,0.784367,0.408467
77000,3,-17.782,73.6186,0.0239781,0.4064
78000,2,-15.4781,73.4189,0.066484,0.412
79000,3,-25.8336,75.538,1.22243,0.364
80000,3,-20.3835,79.4972,0.113276,0.42525
81000,4,-22.2809,75.8342,0.621669,0.4345
82000,2,-15.1451,73.3591,0.124938,0.424
83000,2,-25.3832,74.2559,1.82605,0.384
84000,3,-14.8001,69.8955,1.44884,0.421
85000,3,-15.9459,74.682,2.02789,0.4165
86000,3,-14.5165,72.8343,1.17956,0.407
87000,3,-15.1096,72.1743,1.21141,0.399429
88000,2,-17.9959,77.215,1.2587,0.424
89000,3,-17.6714,74.4277,0.649347,0.426
90000,2,-19.4644,76.5746,0.410337,0.398
91000,2,-19.3691,73.8222,0.527291,0.449
92000,2,-19.3781,75.835,0.157728,0.401125
93000,2,-20.9685,75.6577,0.115516,0.388333
94000,3,-23.2602,77.7352,0.695662,0.412
95000,2,-20.4569,75.1372,0.65395,0.36
96000,2,-20.7958,77.6909,0.13915,0.338
97000,3,-24.2527,74.6756,0.905652,0.3614
98000,3,-28.1525,78.6318,4.77439,0.419286
99000,3,-21.9452,74.9983,0.449147,0.432
100000,3,-21.6525,76.8934,0.826064,0.426429
101000,3,-22.7634,77.0779,0.263907,0.399
102000,2,-17.3326,72.5378,0.840677,0.3772
103000,2,-21.6659,69.5422,1.58116,0.383
104000,2,-19.6218,69.4691,1.04795,0.405375
105000,2,-19.475,76.6456,0.538605,0.395
106000,3,-20.6634,79.2067,1.32637,0.455
107000,2,-18.3891,74.1719,0.504197,0.371
108000,4,-20.796,83.2869,2.14958,0.426375
109000,2,-28.0258,81.8045,0.794133,0.473
110000,2,-17.2851,73.2222,0.430541,0.393
111000,2,-16.4837,77.573,0.240566,0.397
112000,2,-18.624,74.6994,2.8563,0.36
113000,2,-18.9337,76.6216,0.0293071,0.399333
114000,2,-16.9775,74.257,0.4584,0.362
115000,4,-17.8712,77.0171,0.410163,0.453
116000,3,-21.11,74.0691,1.05609,0.434462
117000,2,-12.4974,68.369,1.74507,0.448
118000,2,-18.8933,73.8241,0.720005,0.4615
119000,3,-22.0986,73.5516,0.714573,0.427
120000,2,-19.633,76.244,1.02385,0.42
121000,2,-18.4787,76.3801,0.0715713,0.422
122000,2,-18.388,71.6739,0.307056,0.346
123000,2,-15.9952,75.2401,0.00379398,0.44375
124000,2,-19.1587,73.996,0.752389,0.464
125000,2,-17.6769,72.6071,1.50285,0.3965
126000,2,-17.8139,73.4296,0.683847,0.388
127000,2,-18.5724,74.5708,2.14249,0.393571
128000,2,-19.3374,74.6716,2.04167,0.404833
129000,2,-18.9456,75.764,1.05154,0.4082
130000,2,-18.1547,78.581,0.024908,0.373
131000,2,-21.2046,78.0075,0.249347,0.4048
132000,2,-19.4034,78.6459,0.150701,0.42
133000,2,-19.5434,78.5348,0.978954,0.383
134000,2,-18.7257,70.6646,2.69292,0.377
135000,2,-22.2461,75.3853,0.164175,0.398875
136000,2,-23.559,77.1823,0.362959,0.402375
137000,3,-16.1623,73.4163,0.187332,0.399333
138000,4,-22.2275,80.4801,0.984902,0.448
139000,3,-28.0328,81.5323,1.13756,0.418
140000,2,-22.558,79.2284,0.584005,0.42
141000,2,-18.8268,72.2596,1.07379,0.366
142000,2,-21.105,73.5796,0.0284052,0.410167
143000,3,-27.9668,82.2229,2.91906,0.411857
144000,4,-16.9403,70.8071,0.389251,0.416222
145000,2,-26.2467,79.5111,1.2946,0.4825
146000,2,-15.8518,70.0425,0.0713398,0.4095
147000,2,-20.8878,77.0202,0.578777,0.399
148000,3,-22.7243,77.298,1.03036,0.413571
149000,2,-17.6968,73.3312,2.34429,0.38225
150000,3,-18.5063,79.0563,0.391404,0.388
151000,3,-20.9344,76.007,4.05605,0.393429
152000,3,-16.6367,74.57,1.40627,0.472
153000,2,-19.5723,77.0074,0.0522347,0.364
154000,4,-26.4686,77.6366,0.979771,0.401429
155000,3,-23.4718,79.0226,0.139853,0.3665
156000,3,-17.1594,69.1759,0.431275,0.439
157000,4,-22.1464,73.8943,0.918452,0.428
158000,2,-19.6362,77.7019,2.34034,0.419
159000,2,-18.6442,77.4822,0.605413,0.403
160000,3,-23.6168,73.9146,1.14013,0.470667
161000,2,-19.9164,72.5504,0.886021,0.444
162000,2,-17.0232,76.872,0.466301,0.356
163000,2,-20.845,79.6512,0.0877481,0.394
164000,2,-21.8224,78.8615,0.289211,0.388
165000,2,-11.8917,62.1364,0.310362,0.471
166000,2,-17.4528,73.8504,2.12819,0.4115
167000,2,-15.7306,72.2921,0.0756737,0.392462
168000,2,-20.5491,76.8059,0.384579,0.407
169000,2,-15.6693,70.7427,0.536033,0.378
170000,2,-22.1772,72.811,1.5562,0.43725
171000,2,-20.5249,80.1052,0.220381,0.375
172000,2,-15.121,74.136,0.35081,0.39975
173000,2,-18.8329,75.2546,0.648044,0.371
174000,2,-23.154,75.5294,1.03379,0.376
175000,2,-18.914,74.3439,0.532102,0.409167
176000,3,-24.5672,79.4195,0.693137,0.377
177000,3,-18.3886,74.4613,0.746173,0.37825
178000,3,-22.298,76.2285,1.19801,0.489
179000,2,-11.5051,67.1815,0.363527,0.386
180000,2,-13.5726,70.2582,0.314984,0.418
181000,3,-23.8806,80.3124,0.0896658,0.387
182000,2,-13.5991,69.7827,0.522118,0.410176
183000,2,-21.8609,70.8499,3.80021,0.401
184000,2,-22.7241,80.7369,0.0959263,0.388
185000,2,-19.0712,77.4708,0.821169,0.399
186000,2,-17.0759,76.044,0.33477,0.376
187000,2,-22.6203,80.0929,0.865698,0.402154
188000,2,-17.1053,71.3752,3.41807,0.384
189000,2,-22.2967,75.0043,0.254639,0.4175
190000,2,-16.9199,73.9678,2.45021,0.393778
191000,3,-19.4718,77.3178,0.360449,0.3735
192000,3,-15.9366,71.1518,0.478567,0.447
193000,2,-11.5822,68.1282,0.286566,0.405941
194000,4,-23.3973,73.1036,3.97268,0.4285
195000,2,-23.6634,79.5486,0.36262,0.436
196000,2,-19.733,75.9623,2.02262,0.365
197000,2,-20.7321,77.0086,0.584859,0.399
198000,2,-19.3477,76.238,1.95338,0.408167
199000,3,-16.7028,72.7236,1.55968,0.41725
200000,2,-18.8731,75.5589,0.0634254,0.399
201000,3,-16.1433,76.9011,0.553042,0.391333
202000,3,-23.9176,78.4103,0.00664287,0.4185
203000,3,-22.298,72.6689,1.55508,0.393667
204000,3,-18.369,77.9223,0.317658,0.43
205000,5,-21.4459,74.4744,3.56126,0.466
206000,5,-19.8745,71.7903,0.00954987,0.525
207000,3,-27.6743,81.418,1.56961,0.491
208000,2,-24.4547,81.2845,0.129339,0.349
209000,3,-22.5438,80.3848,0.866092,0.443
210000,4,-16.0027,69.9189,0.885447,0.46
211000,3,-20.7793,74.4273,1.62547,0.412
212000,3,-17.699,77.2178,0.513198,0.383
213000,2,-20.185,73.5791,0.406432,0.442
214000,2,-20.5584,75.4163,3.08217,0.402
215000,2,-18.7532,77.1204,2.24571,0.379
216000,2,-16.2463,68.8593,0.678891,0.412643
217000,2,-18.2661,71.8254,2.91271,0.3695
218000,2,-11.1475,68.9759,0.149488,0.429
219000,2,-22.5571,78.5193,0.594098,0.416889
220000,3,-14.9419,73.2398,0.584488,0.3921
221000,3,-19.9021,68.02,0.659978,0.499
222000,3,-15.2607,69.8711,2.38539,0.438
223000,4,-21.0711,73.4191,0.379305,0.43175
224000,2,-18.4063,71.1329,0.376089,0.393
225000,2,-26.1955,78.1122,0.725303,0.35
226000,2,-20.4367,76.9009,0.365252,0.362
227000,2,-15.7678,75.974,0.306559,0.418
228000,2,-20.7977,73.5335,0.126757,0.427
229000,4,-19.3671,75.3022,0.181313,0.412333
230000,2,-15.5953,71.6282,0.013994,0.418833
231000,2,-11.0369,57.4379,0.983333,0.4145
232000,2,-16.4218,70.1368,0.392179,0.378
233000,2,-16.7753,73.511,1.05604,0.36
234000,2,-23.4007,77.8461,1.27084,0.391
235000,2,-19.9442,77.4516,1.13171,0.405714
236000,2,-18.4573,74.4909,1.62655,0.366
237000,2,-20.2683,78.2472,1.21886,0.389
238000,2,-17.935,72.4509,2.61876,0.381
239000,3,-19.7465,75.5519,1.71986,0.420118
240000,2,-15.3465,72.0361,0.194824,0.397
241000,2,-22.3058,78.8113,1.27706,0.382
242000,2,-20.8772,72.3847,0.0898167,0.381
243000,2,-15.8213,71.882,0.0410889,0.37
244000,4,-19.6426,85.6138,0.0759186,0.456
245000,4,-29.5891,83.3948,1.17603,0.45
246000,5,-38.7146,87.3963,4.51243,0.517
247000,4,-21.4886,76.0366,2.40208,0.429
248000,4,-23.4494,84.0269,0.556441,0.441
249000,4,-25.3291,81.3816,0.154864,0.422
250000,4,-26.0925,79.4814,1.59421,0.4168
251000,3,-17.2712,76.8518,1.58168,0.435
252000,3,-20.006,77.5109,0.369855,0.395
253000,3,-19.8169,79.5556,1.37413,0.44
254000,3,-15.5171,73.7557,1.13458,0.415
255000,2,-32.6296,78.4023,7.94745,0.382
256000,3,-23.442,82.0389,0.0512958,0.386
257000,2,-24.6585,79.1166,2.57091,0.41795
258000,4,-22.8513,79.5296,1.41666,0.4491
259000,3,-22.1236,78.6166,2.64038,0.458
260000,3,-16.4954,78.9426,0.320311,0.459
261000,2,-17.5097,75.1157,0.555054,0.376
262000,2,-18.6822,75.1157,0.0347055,0.382
263000,3,-18.7571,76.6211,0.580117,0.401214
264000,3,-17.311,74.0706,0.0127348,0.4245
265000,2,-18.9241,75.6908,0.107088,0.385
266000,3,-20.206,72.9203,1.4119,0.401
267000,3,-18.9657,74.9047,0.834011,0.425
268000,2,-22.1041,74.5232,0.396029,0.425875
269000,3,-20.3581,82.7888,0.922204,0.41875
270000,3,-18.0054,72.5561,0.178294,0.425333
271000,3,-22.1956,80.3811,0.753984,0.410867
272000,3,-19.6922,77.5607,0.66078,0.421
273000,4,-13.587,71.8419,0.840141,0.495
274000,4,-24.0897,84.5594,0.0678656,0.4452
275000,3,-24.457,77.5839,2.07695,0.435
276000,3,-18.2072,80.4874,0.474479,0.413125
277000,3,-20.7306,76.3895,0.140699,0.438
278000,2,-18.4038,72.9003,0.243452,0.41
279000,2,-13.5475,69.0005,0.185428,0.409667
280000,2,-20.283,77.8981,1.8603,0.393
281000,2,-17.3892,77.7386,0.159688,0.364
282000,2,-19.5256,74.0359,1.72056,0.359
283000,2,-27.6537,80.4966,0.337822,0.4101
284000,2,-17.1622,72.1613,1.64218,0.424
285000,2,-24.8109,78.9017,0.818475,0.390667
286000,2,-20.941,72.9392,1.78447,0.38
287000,2,-21.2154,74.0635,2.82744,0.390222
288000,3,-15.2323,72.7609,0.140894,0.43075
289000,3,-18.8747,78.5614,0.0876674,0.41
290000,2,-18.8142,70.5997,1.50469,0.37775
291000,3,-26.7302,78.7903,0.60501,0.38875
292000,3,-20.3872,76.6475,0.492822,0.409
293000,2,-20.6923,76.3832,3.43483,0.476
294000,2,-29.4726,75.3709,2.6818,0.408412
295000,2,-16.08,70.2077,1.33937,0.415333
296000,2,-17.5286,72.5907,3.31918,0.387
297000,3,-19.9027,78.4593,0.598232,0.41375
298000,2,-20.2891,69.9109,1.38149,0.418
299000,2,-13.0602,67.6843,0.480985,0.416
300000,2,-20.1613,77.9366,0.63213,0.362
301000,2,-22.1572,79.0952,0.526443,0.381
302000,2,-28.3311,82.6952,0.669437,0.416
303000,2,-22.0168,70.7059,2.72706,0.396692
304000,4,-19.0978,83.0142,0.106555,0.4281
305000,4,-22.7167,77.182,0.0381401,0.424
306000,4,-20.5825,72.9293,1.87546,0.496
307000,2,-16.9964,60.8084,1.26083,0.361
308000,2,-19.3919,73.2442,1.51114,0.392
309000,2,-18.4637,73.1339,0.0398282,0.395
310000,4,-18.8911,77.8345,0.522158,0.45675
311000,2,-20.7803,76.329,1.3845,0.36925
312000,2,-21.3761,75.7821,3.27255,0.354
313000,2,-22.7276,78.2578,1.47474,0.38625
314000,2,-19.4301,76.082,0.913241,0.388
315000,2,-15.4995,72.7096,0.296097,0.347
316000,3,-25.6031,81.5142,0.706796,0.409
317000,3,-19.3963,80.38,0.164985,0.381
318000,4,-20.8296,83.4755,2.05031,0.395667
319000,2,-22.745,76.4915,0.774146,0.409
320000,2,-17.2042,75.2319,0.542735,0.385722
321000,2,-13.8708,73.5,0.191729,0.386
322000,3,-14.0388,71.6769,0.0335447,0.413
323000,3,-23.0164,78.1429,2.58778,0.405
324000,3,-20.0074,73.1793,1.29812,0.436143
325000,4,-19.6404,72.757,1.23459,0.45
326000,2,-16.8329,73.1644,0.000251049,0.389
327000,2,-14.49,73.0047,0.450346,0.389
328000,2,-26.6926,74.2218,4.11142,0.32
329000,2,-16.169,70.6265,1.01941,0.3917
330000,4,-22.5193,76.3821,0.177238,0.478
331000,4,-19.8511,78.1882,3.01212,0.411
332000,2,-18.0883,73.7885,1.7682,0.4205
333000,3,-23.3552,80.7817,0.997572,0.413
334000,3,-20.2783,76.4075,1.30633,0.409
335000,2,-16.674,68.0455,0.253113,0.429
336000,2,-21.1189,74.9644,0.726582,0.377
337000,3,-23.1749,80.5359,0.714928,0.412
338000,3,-21.1269,77.8142,0.0700425,0.4125
339000,3,-20.9383,75.0971,0.473652,0.4075
340000,2,-18.2999,73.4075,2.446,0.35
341000,2,-20.1049,75.7672,3.22909,0.388
342000,3,-16.4057,77.1676,0.720251,0.394389
343000,4,-24.6858,77.2157,1.58098,0.373
344000,3,-17.6402,68.7247,0.986122,0.416864
345000,2,-16.5781,72.0191,1.10365,0.394333
346000,2,-21.8044,79.4188,1.88027,0.345
347000,2,-18.4675,72.4736,0.558717,0.387
348000,2,-18.5069,70.2619,1.8799,0.399
349000,2,-19.7793,76.4642,0.559896,0.332
350000,2,-21.0778,76.9547,1.06489,0.383
351000,2,-13.8391,70.7786,0.765201,0.4095
352000,2,-25.9709,80.5725,1.5053,0.40525
353000,2,-19.5078,75.2577,2.55967,0.431
354000,2,-17.9686,74.2725,0.402918,0.37
355000,2,-24.8567,77.7483,1.93219,0.364
356000,2,-19.8474,75.3578,2.11763,0.429
357000,2,-19.3372,77.8943,0.0918274,0.397
358000,2,-19.2576,75.7208,0.589536,0.382
359000,2,-18.9582,74.4584,0.196387,0.389
360000,2,-21.8319,74.3637,2.55992,0.387
361000,2,-20.248,77.4895,0.181329,0.383
362000,3,-31.486,85.6004,2.10632,0.387
363000,3,-19.9458,80.0065,0.569842,0.407182
364000,3,-20.1932,76.7348,2.72821,0.403423
365000,2,-15.7053,66.743,0.352225,0.3825
366000,2,-16.2121,70.0786,0.942976,0.402
367000,2,-23.2763,81.2013,0.404736,0.384
368000,2,-14.8462,71.1415,0.0727984,0.402529
369000,2,-16.5032,69.1057,1.52532,0.4265
370000,2,-18.5117,71.7845,0.57622,0.396375
371000,4,-20.0796,69.3795,0.369611,0.390429
372000,2,-20.7949,72.7997,1.97775,0.444
373000,2,-15.0711,74.4178,0.351053,0.414
374000,3,-21.1891,78.012,0.216404,0.407
375000,3,-20.9463,77.0206,0.26754,0.4122
376000,2,-21.0245,77.0923,0.83254,0.408
377000,4,-12.6642,72.6878,0.392239,0.425
378000,4,-14.099,69.8196,1.38201,0.434
379000,2,-19.956,77.9297,0.454802,0.437
380000,2,-20.6122,78.0156,1.3762,0.402167
381000,2,-19.545,74.9318,1.90482,0.408
382000,2,-12.5347,68.7088,1.13378,0.410667
383000,3,-18.0015,73.4571,1.52276,0.3515
384000,3,-16.0341,74.7869,0.0450906,0.431
385000,2,-22.2559,73.9376,0.265206,0.383
