generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,3,1
3000,1,3,1
4000,1,4,1
5000,2,4,0
6000,1,4,1
7000,1,4,0
8000,3,4,1
9000,2,4,1
10000,1,3,0
11000,3,4,1
12000,3,4,1
13000,2,3,1
14000,2,4,0
15000,1,2,1
16000,2,4,1
17000,1,3,1
18000,1,2,1
19000,1,4,1
20000,1,4,1
21000,2,3,1
22000,1,4,1
23000,2,4,1
24000,1,2,1
25000,2,3,0
26000,1,2,1
27000,3,4,1
28000,1,4,0
29000,3,4,1
30000,1,2,1
31000,2,3,0
32000,1,4,1
33000,1,3,1
34000,2,4,1
35000,1,2,1
36000,2,4,1
37000,1,2,1
38000,1,2,0
39000,2,3,1
40000,2,3,1
41000,1,4,0
42000,2,4,1
43000,2,3,0
44000,3,4,1
45000,3,4,1
46000,2,3,1
47000,1,2,1
48000,2,4,1
49000,2,3,1
50000,3,4,1
51000,2,4,1
52000,2,4,0
53000,1,4,1
54000,2,4,1
55000,1,3,1
56000,1,3,1
57000,1,3,1
58000,1,3,1
59000,1,4,1
60000,1,4,0
61000,3,4,1
62000,2,3,1
63000,2,3,1
64000,1,3,1
65000,2,3,1
66000,2,4,1
67000,1,3,1
68000,1,3,0
69000,1,4,0
70000,2,3,1
71000,2,3,1
72000,1,3,1
73000,3,4,1
74000,3,4,1
75000,1,3,0
76000,1,2,1
77000,1,2,1
78000,1,4,1
79000,1,3,1
80000,1,4,1
81000,1,2,1
82000,1,2,1
83000,2,4,1
84000,2,3,0
85000,2,3,0
86000,1,3,0
87000,3,4,0
88000,1,4,0
89000,2,3,1
90000,2,3,1
91000,1,4,0
92000,2,3,0
93000,2,4,0
94000,2,4,1
95000,2,4,1
96000,1,4,1
97000,2,4,1
98000,1,4,1
99000,1,3,1
100000,2,4,1
