generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.032,0,0.00335251,0
1000,Eucalyptus_obliqua,Eucalyptus_barberi,0,29.8769,0.521723,34.6079,0
1000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.604084,120.207,0.570414,147.312,0
1000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.786741,6.96228,0.329115,11.1085,0
1000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.934606,77.5523,0.560802,21.1537,0
2000,Eucalyptus_obliqua,Eucalyptus_barberi,0,13.2976,-0.878775,17.0169,0
2000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.932678,7.68843,0.464547,9.52748,0
2000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.960057,87.0291,-0.598826,41.6056,0
2000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.302016,40.2657,0.668122,48.1648,0
3000,Eucalyptus_obliqua,Eucalyptus_barberi,0,3.76001,-1.65961,1.88677,0
3000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.987936,187.775,-1.28319,2.0491,0
3000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.721978,64.5424,0.290836,53.2487,0
4000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.28376,-0.521713,4.89902,0
4000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.984873,127.53,0.387902,17.1431,0
4000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.927305,136.551,-0.136595,19.9919,0
5000,Eucalyptus_obliqua,Eucalyptus_barberi,0,3.39486,-0.617781,6.32804,0
5000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.99019,174.623,0.0369557,0.635903,0
5000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.984567,229.583,0.99662,1.12796,0
6000,Eucalyptus_obliqua,Eucalyptus_barberi,0,2.35702,-0.0769154,9.25661,0
6000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.983997,154.041,1.48943,1.14424,0
6000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.962207,161.687,1.54163,9.44189,0
7000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.873988,0.488293,2.50744,0
7000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.990305,155.862,0.668074,13.4139,0
7000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.983761,159.548,1.30533,11.9255,0
8000,Eucalyptus_obliqua,Eucalyptus_barberi,0,3.8764,0.165775,8.09829,0
8000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.981445,166.117,0.660847,13.2309,0
8000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.488453,3.61991,-1.80853,7.03663,0
