generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-8.14129,-136.011,1,0
1000,2,-40.3396,64.0332,0.587237,0.606394
2000,1,-30.9892,60.1353,1.62518,0.531
3000,6,-83.8416,93.7083,2.79674,0.620793
4000,2,-46.79,68.026,1.31025,0.59975
5000,1,-34.0978,66.9459,0.610511,0.529
6000,5,-85.3722,95.9127,5.38201,0.677
7000,2,-49.7919,89.5162,1.69754,0.628
8000,3,-54.7025,87.5839,0.985503,0.632
9000,4,-65.2316,89.6503,1.22457,0.613
10000,2,-44.8939,85.5373,0.35069,0.598
11000,5,-75.1548,92.9034,3.58323,0.619
12000,5,-75.0796,94.6736,1.96626,0.633
13000,6,-96.2301,86.6923,4.91222,0.634
14000,7,-99.1703,89.8856,5.10132,0.62
15000,3,-53.7653,89.8375,0.571236,0.6002
16000,2,-45.1501,87.2295,1.15395,0.622
17000,7,-107.975,96.8662,5.67338,0.601
18000,5,-83.7866,94.4479,5.37489,0.613966
19000,2,-53.1194,98.4451,2.67958,0.6324
20000,2,-53.1363,97.8966,1.93463,0.6175
21000,3,-51.5552,84.8706,1.9713,0.651
22000,3,-57.2342,94.4917,0.851243,0.609333
23000,3,-55.1277,91.697,2.11791,0.653
24000,3,-52.0161,87.6903,0.737825,0.656
25000,8,-110.594,94.8643,6.21889,0.662
26000,5,-79.4716,93.5631,3.1386,0.643333
27000,2,-51.6211,88.9438,0.588852,0.604
28000,3,-70.4344,97.7499,2.84155,0.658
29000,4,-75.931,85.5814,1.3565,0.647
30000,4,-69.9631,91.7102,2.33069,0.6584
31000,7,-92.0881,83.774,1.70723,0.659
32000,2,-45.8922,86.1315,0.619093,0.627062
33000,5,-78.634,95.4569,1.63108,0.648
34000,2,-47.1026,92.1886,0.531866,0.612
35000,5,-92.569,93.3277,4.96706,0.62525
36000,2,-45.595,89.3041,2.04683,0.62
37000,2,-56.6326,96.7482,1.96726,0.60125
38000,2,-44.6883,87.4938,1.92763,0.521
39000,3,-58.7408,93.2489,1.67371,0.604
40000,2,-44.1074,86.9325,1.77308,0.574
41000,3,-57.8319,85.043,0.677505,0.545
42000,3,-55.9019,89.4178,1.94803,0.608
43000,2,-54.3756,92.1553,0.536299,0.602
44000,4,-69.748,89.2845,2.88733,0.599
45000,5,-78.7844,93.3084,3.71354,0.668
46000,2,-49.6145,95.3947,1.27974,0.598
47000,3,-67.8963,96.941,0.918003,0.6162
48000,2,-42.6259,83.5221,1.38791,0.648
49000,2,-54.4953,96.7309,0.899638,0.638
50000,3,-54.1334,88.7334,1.68605,0.573
51000,4,-60.6701,88.1199,1.23119,0.61
52000,3,-62.291,93.2353,1.20257,0.578
53000,2,-53.602,94.0654,1.42586,0.594895
54000,2,-54.3827,94.8003,1.45618,0.59
55000,5,-74.9863,84.202,2.96805,0.602111
56000,3,-64.5782,95.7324,1.67548,0.618
57000,2,-54.3505,95.8956,1.74244,0.6025
58000,6,-83.7364,81.6785,3.30603,0.6315
59000,2,-45.6655,86.3955,1.76488,0.589913
60000,2,-47.3773,86.0649,1.62516,0.569
61000,2,-45.3982,90.2981,0.94986,0.61
62000,3,-54.2236,89.0315,1.57132,0.574
63000,2,-46.4935,93.6414,0.0776711,0.588
64000,2,-45.2155,88.4916,2.75805,0.581667
65000,2,-44.9772,90.3292,1.4934,0.534
66000,2,-52.5544,95.753,1.62273,0.607
67000,4,-76.6739,99.3892,1.69007,0.610267
68000,2,-49.37,91.6161,1.69003,0.595
69000,3,-56.5948,92.525,2.89629,0.581
70000,2,-46.0079,91.9667,0.963487,0.619
71000,2,-50.0413,93.8237,3.15855,0.623
72000,4,-76.3952,98.641,5.59378,0.6605
73000,2,-54.4912,99.7852,1.77831,0.632
74000,2,-54.4502,96.6489,0.756251,0.579
75000,2,-45.565,91.5152,1.34344,0.598
76000,3,-64.8172,98.5614,1.61884,0.613053
77000,3,-59.6017,92.7087,2.46068,0.5835
78000,3,-55.8317,89.1831,2.04321,0.6192
79000,4,-63.7058,90.9459,0.402145,0.63775
80000,6,-95.788,96.9918,3.18289,0.626667
81000,6,-92.496,96.5122,2.04223,0.6338
82000,3,-65.2132,95.4179,1.83494,0.6285
83000,2,-51.4639,94.3046,0.30659,0.582
84000,5,-75.9465,92.6285,3.80331,0.588
85000,2,-60.6861,101.159,0.877762,0.662
86000,2,-49.8368,97.6176,0.983504,0.61
87000,4,-66.3558,90.4757,1.61757,0.613
88000,2,-42.4575,84.4318,0.98086,0.63
89000,2,-50.9084,93.6932,1.19182,0.635
90000,2,-46.5988,90.7995,0.737251,0.622
91000,2,-46.291,86.9748,1.68844,0.589
92000,3,-61.1757,93.0273,2.58999,0.606
93000,3,-57.5782,81.2313,1.7655,0.594
94000,2,-46.7636,91.4766,0.843211,0.605
95000,4,-64.019,90.8662,2.13766,0.596
96000,2,-46.9452,91.3935,1.28136,0.669533
97000,3,-55.3126,89.6584,1.45654,0.665
98000,3,-59.2382,90.9558,3.72047,0.634158
99000,7,-104.946,93.4254,4.75863,0.655905
